"Plane Section: Position[X] (m)","Plane Section: Position[Y] (m)"
-3.5,9.104824932130431E-6
-3.27,9.503041323999676E-6
-3.04,9.626358757408972E-6
-2.8099999999999996,9.91134248042036E-6
-2.58,1.0812510309757793E-5
-2.3499999999999996,1.1037349178387142E-5
-2.12,1.173235638315972E-5
-1.8900000000000001,1.2761067175034438E-5
-1.6599999999999997,1.4293103336626006E-5
-1.4300000000000002,1.7156036414467087E-5
-1.2000000000000002,1.832587911797831E-5
-1.1760000000000002,1.3662277056106144E-5
-1.1520000000000001,1.009949001242209E-5
-1.128,1.2465990432155693E-5
-1.104,1.4761769883910383E-5
-1.08,1.5619682199637846E-5
-1.056,1.5948934929867903E-5
-1.032,1.5158059913155525E-5
-1.008,1.7083457639027787E-5
-0.984,1.9019572876492665E-5
-0.9600000000000001,1.4802989035367451E-5
-0.936,1.3050863393745081E-5
-0.9119999999999999,1.305375988070877E-5
-0.888,1.1615432972861533E-5
-0.864,1.1564195502096865E-5
-0.84,1.0370368027187065E-5
-0.8160000000000001,9.80073523533932E-6
-0.7919999999999999,9.248069565307836E-6
-0.7679999999999999,7.815993571961676E-6
-0.744,6.491859855843824E-6
-0.72,4.9134869893811654E-6
-0.696,3.0729143329975665E-6
-0.6719999999999999,1.1944329064966092E-6
-0.6479999999999999,-7.582484038801563E-7
-0.624,-3.2128777856046693E-6
-0.5999999999999999,-5.712556856598758E-6
-0.5759999999999998,-8.467417683797338E-6
-0.5519999999999998,-1.1760804700189278E-5
-0.528,-1.5194834901258647E-5
-0.504,-1.8530315890963453E-5
-0.48,-2.2416985924097283E-5
-0.4559999999999998,-2.6483852044712018E-5
-0.43199999999999966,-3.0812767619979586E-5
-0.40799999999999964,-3.50016866708467E-5
-0.38399999999999956,-3.98931392106346E-5
-0.3599999999999996,-4.483934706724546E-5
-0.33599999999999974,-4.936458030569855E-5
-0.31199999999999967,-5.4880181455404294E-5
-0.2879999999999997,-6.0417558965620644E-5
-0.2639999999999997,-6.57753754822858E-5
-0.23999999999999966,-6.80037231090161E-5
-0.21599999999999964,-6.937757878286259E-5
-0.19199999999999967,-7.769102577782406E-5
-0.16799999999999965,-8.522174758686385E-5
-0.14399999999999963,-8.772858475938265E-5
-0.11999999999999961,-9.060760339774316E-5
-0.0959999999999995,-9.385407723536978E-5
-0.07199999999999945,-9.622954525671389E-5
-0.047999999999999696,-9.760353321344717E-5
-0.02399999999999962,-9.805694169487346E-5
3.7501229592706084E-16,-9.796994089635513E-5
0.024000000000000563,-9.917231759406988E-5
0.04800000000000036,-9.841233969206124E-5
0.07200000000000038,-9.56291846744995E-5
0.09600000000000032,-9.459837898217408E-5
0.12000000000000025,-9.247763277656518E-5
0.14400000000000046,-8.759494273632984E-5
0.1680000000000005,-8.411638484296996E-5
0.19200000000000045,-7.727586746796911E-5
0.21600000000000028,-7.076511142552894E-5
0.24000000000000027,-7.023505800370306E-5
0.26400000000000023,-6.627263501701622E-5
0.2880000000000003,-6.344767049509727E-5
0.3120000000000002,-5.597719348763002E-5
0.3360000000000003,-4.313213220220424E-5
0.3600000000000003,-4.3350270583991136E-5
0.38400000000000034,-4.299566114660024E-5
0.40800000000000036,-3.6404469081215574E-5
0.4320000000000004,-3.2016576010238584E-5
0.4560000000000005,-2.6757495674982045E-5
0.4800000000000006,-2.3098387792196617E-5
0.5040000000000004,-1.8984732624801855E-5
0.5280000000000005,-1.4894644142303187E-5
0.5520000000000005,-1.141671102338794E-5
0.5760000000000005,-7.880526367643305E-6
0.6000000000000005,-4.20866577991179E-6
0.6240000000000006,-2.1928561362808286E-6
0.6480000000000006,-1.4448560605173633E-6
0.6720000000000006,7.340611768826347E-7
0.6960000000000006,3.2839065845871075E-6
0.7200000000000006,5.49035621878898E-6
0.7440000000000008,6.670198495624087E-6
0.7680000000000007,7.98704700408063E-6
0.7920000000000005,9.15870056380076E-6
0.8160000000000003,9.98665705732719E-6
0.8400000000000003,1.1230123078331258E-5
0.8640000000000003,1.248157719657434E-5
0.8880000000000001,1.3347296288007508E-5
0.9120000000000001,1.3777355619593859E-5
0.9359999999999999,1.3992255132280534E-5
0.9600000000000001,1.5095863640292436E-5
0.984,1.5836486611134175E-5
1.008,1.6714314544410405E-5
1.032,1.6178610486792784E-5
1.0560000000000003,1.5688734692345186E-5
1.0800000000000005,1.5899672401855974E-5
1.104,1.6141069702642645E-5
1.1280000000000001,1.6913588564217022E-5
1.1520000000000001,1.8026563285040553E-5
1.1760000000000002,1.950199370857669E-5
1.2000000000000002,1.711938751604563E-5
1.4300000000000002,1.4661289425029096E-5
1.6600000000000004,1.4147364372928259E-5
1.8900000000000001,1.0971827641557963E-5
2.1200000000000006,9.326557376258034E-6
2.3499999999999996,1.0225058834251698E-5
2.58,9.698673993849055E-6
2.8099999999999996,8.661590119303118E-6
3.04,8.28679965507212E-6
3.2700000000000005,8.279012745487316E-6
3.5,8.12786215994535E-6
