"Plane Section: Position[X] (m)","Plane Section: Position[Y] (m)"
3.5,-3.0237014333762274E-7
3.2700000000000005,-3.694143702031444E-7
3.04,-3.3952855005639493E-7
2.8100000000000005,-3.1960023245221E-7
2.58,-3.13464681927101E-7
2.35,-3.227422448073662E-7
2.1200000000000006,-3.5034557945056236E-7
1.8900000000000001,-3.6409094447123133E-7
1.6600000000000004,-3.9046365397791064E-7
1.4300000000000002,-3.6720548191471886E-7
1.2000000000000004,-5.202453110210101E-7
1.1760000000000002,-6.600533144500605E-7
1.1520000000000001,-2.5761306437382427E-7
1.1280000000000001,-2.0118772572756162E-7
1.104,-6.356110188827577E-7
1.0800000000000005,-5.271975348473696E-7
1.056,-3.503351371848037E-7
1.032,-4.2960102704359647E-7
1.008,-3.346379088954663E-7
0.984,-2.665841244147045E-7
0.96,-4.211221137895814E-7
0.936,-4.134140446625939E-7
0.9120000000000001,-4.0946808036227376E-7
0.8880000000000001,-4.085338738153005E-7
0.8640000000000002,-3.7720880040011985E-7
0.8400000000000003,-4.4357884776391986E-7
0.8160000000000003,-4.778565366886107E-7
0.7920000000000005,-3.91824200829307E-7
0.7680000000000007,-3.1911934583544153E-7
0.7440000000000007,-3.59814593420835E-7
0.7200000000000006,-3.7301291210922564E-7
0.6960000000000006,-3.0280465757558106E-7
0.6720000000000006,-3.941912266082481E-7
0.6480000000000006,-4.1782885341987847E-7
0.6240000000000006,-3.8345311986309576E-7
0.6000000000000005,-3.6966552491453884E-7
0.5760000000000005,-3.356886910479452E-7
0.5520000000000005,-4.62438798225738E-7
0.5280000000000005,-4.497313529005717E-7
0.5040000000000004,-3.968589681441724E-7
0.4800000000000006,-3.940945001632522E-7
0.4560000000000005,-3.9263827675164835E-7
0.4320000000000004,-3.470806404803385E-7
0.40800000000000036,-3.596518137975041E-7
0.38400000000000034,-4.3289162404138923E-7
0.3600000000000003,-4.332829485816526E-7
0.3360000000000003,-3.5658761921193716E-7
0.3120000000000002,-3.700658899664141E-7
0.2880000000000003,-4.247354432756773E-7
0.26400000000000023,-4.1334492391484E-7
0.24000000000000027,-3.750535964575086E-7
0.21600000000000025,-3.710394731696199E-7
0.19200000000000042,-4.2936445797414104E-7
0.1680000000000005,-3.685374999941055E-7
0.14400000000000046,-3.8694165658214284E-7
0.12000000000000025,-4.3172853594333413E-7
0.09600000000000032,-3.7732306361944884E-7
0.07200000000000037,-3.521956881454968E-7
0.048000000000000355,-3.806493704412283E-7
0.024000000000000552,-4.2071501327677584E-7
3.6364845121951727E-16,-4.32680776033716E-7
-0.02399999999999963,-3.7750384847701907E-7
-0.04799999999999971,-3.819613327822949E-7
-0.07199999999999948,-3.794990469938378E-7
-0.0959999999999995,-3.7143349190327593E-7
-0.11999999999999961,-4.4821574717132835E-7
-0.14399999999999963,-4.228792736358112E-7
-0.16799999999999968,-3.4513270879589497E-7
-0.19199999999999967,-3.801144080441479E-7
-0.21599999999999964,-3.745541365723828E-7
-0.23999999999999966,-3.641863886123201E-7
-0.2639999999999997,-4.4352999579565927E-7
-0.2879999999999997,-4.3512443178087E-7
-0.3119999999999997,-4.220726024072984E-7
-0.33599999999999974,-3.538814576599294E-7
-0.3599999999999996,-3.448553680205496E-7
-0.38399999999999956,-5.019683902750607E-7
-0.40799999999999964,-5.301183235175387E-7
-0.43199999999999966,-5.381939911924816E-7
-0.4559999999999998,-4.2781031711494957E-7
-0.48,5.622583043726412E-8
-0.504,9.741503923486883E-8
-0.528,-5.670442658099132E-7
-0.5519999999999998,-3.7863306152972724E-7
-0.5759999999999998,-1.8099366005746263E-7
-0.5999999999999999,-5.139186247038116E-7
-0.624,-4.368650906234114E-7
-0.6479999999999999,-5.014002908943719E-7
-0.6719999999999999,-1.592468153299026E-7
-0.696,-1.0438628379109798E-7
-0.72,-6.202817669775929E-7
-0.744,-5.245061195007037E-7
-0.768,-3.422425022192241E-7
-0.7919999999999999,-3.0567548732680395E-7
-0.8160000000000001,-3.3100578021756644E-7
-0.84,-3.89895032811699E-7
-0.864,-3.900040143817781E-7
-0.888,-4.3273150874905374E-7
-0.9119999999999999,-4.1548269886083726E-7
-0.936,-3.4248227914670387E-7
-0.96,-3.107017652239502E-7
-0.984,-4.3785955229289075E-7
-1.008,-4.3449809118147574E-7
-1.032,-4.5183977240249515E-7
-1.056,-4.516481778961759E-7
-1.08,-3.347456686393028E-7
-1.104,-3.707829369359577E-7
-1.1280000000000001,-3.388606001032343E-7
-1.1520000000000001,-3.6335495431157223E-7
-1.1760000000000002,-4.787184785248755E-7
-1.2000000000000002,-4.522900722350731E-7
-1.43,-1.684761116072138E-7
-1.6599999999999997,-1.8740331982872345E-7
-1.89,-1.529376709912076E-7
-2.12,-1.3274440630170123E-7
-2.3499999999999996,-3.8042396147391216E-7
-2.58,-9.359679898875498E-8
-2.81,-1.0304966064581672E-7
-3.04,-3.6696340464372965E-7
-3.27,-2.9614254416191095E-7
-3.5,-2.3569285725628247E-7
