"Plane Section: Position[X] (m)","Plane Section: Position[Y] (m)"
3.5,2.4860212388070485E-7
3.2700000000000005,2.248285647446502E-6
3.04,2.1562679883451764E-6
2.8100000000000005,9.594923578513503E-7
2.58,2.7364692699385906E-6
2.35,1.047508756224112E-6
2.1200000000000006,-8.892122364705969E-7
1.8900000000000001,9.76111491544267E-7
1.6600000000000004,1.133952075310033E-6
1.4300000000000002,-2.2566649361390953E-6
1.2000000000000004,6.493921779853395E-6
1.1760000000000002,1.0155667487884382E-5
1.1520000000000001,1.3110546917198367E-6
1.1280000000000001,1.186556783490866E-6
1.104,7.28141151796818E-7
1.0800000000000005,-7.164664268830088E-7
1.056,-3.5616404136704603E-7
1.032,2.6768362815622962E-8
1.008,4.052151814828552E-7
0.984,-1.0504706109007791E-7
0.96,-1.0801942114191734E-6
0.936,-1.4122741461035024E-6
0.9120000000000001,-1.4789981706319396E-6
0.8880000000000001,-1.4626203700572257E-6
0.8640000000000002,-1.5199462688969632E-6
0.8400000000000003,-1.626843436550434E-6
0.8160000000000003,-1.2775039666403868E-6
0.7920000000000005,-1.421873545789671E-6
0.7680000000000007,-1.1383056733869131E-6
0.7440000000000007,-6.222712941978629E-7
0.7200000000000006,-7.841798942910712E-7
0.6960000000000006,-1.3970712464317012E-6
0.6720000000000006,-2.379398426968554E-6
0.6480000000000006,-3.052217841311095E-6
0.6240000000000006,-3.3479384571254937E-6
0.6000000000000005,-3.5017394239757627E-6
0.5760000000000005,-3.598647524708388E-6
0.5520000000000005,-3.741247176625986E-6
0.5280000000000005,-4.042683826688959E-6
0.5040000000000004,-4.1886122419065E-6
0.4800000000000006,-4.265689795633848E-6
0.4560000000000005,-4.593998757842057E-6
0.4320000000000004,-4.691918091747835E-6
0.40800000000000036,-4.721841906927919E-6
0.38400000000000034,-4.818823698647667E-6
0.3600000000000003,-4.584925002483866E-6
0.3360000000000003,-4.641994124737715E-6
0.3120000000000002,-4.845212845060436E-6
0.2880000000000003,-5.3535527136108155E-6
0.26400000000000023,-6.0523747259367926E-6
0.24000000000000027,-5.808386701414972E-6
0.21600000000000025,-5.866437933814417E-6
0.19200000000000042,-6.144991357181053E-6
0.1680000000000005,-5.238626799666931E-6
0.14400000000000046,-5.1443131839003665E-6
0.12000000000000025,-5.826751255443496E-6
0.09600000000000032,-6.466302158459171E-6
0.07200000000000037,-6.219464672106148E-6
0.048000000000000355,-6.51954253711568E-6
0.024000000000000552,-6.657254273536228E-6
3.6429538475604335E-16,-5.985389938877213E-6
-0.02399999999999963,-6.007683030332745E-6
-0.047999999999999696,-6.658198656411514E-6
-0.07199999999999948,-6.7647725007712826E-6
-0.0959999999999995,-6.322597224913198E-6
-0.11999999999999961,-5.938692777246414E-6
-0.14399999999999963,-6.225424381719547E-6
-0.16799999999999968,-6.249962360634596E-6
-0.19199999999999967,-5.7292450045731604E-6
-0.21599999999999964,-6.237918347945515E-6
-0.23999999999999966,-5.987741554999313E-6
-0.2639999999999997,-5.415785611308796E-6
-0.2879999999999997,-4.9895202359525725E-6
-0.3119999999999997,-5.081729203563947E-6
-0.33599999999999974,-5.186955708024127E-6
-0.3599999999999996,-5.482189020031194E-6
-0.38399999999999956,-6.097771950191533E-6
-0.40799999999999964,-6.648387741835758E-6
-0.43199999999999966,-4.434151214520281E-6
-0.4559999999999998,-1.2486183606479767E-6
-0.48,-3.7395526872167385E-6
-0.504,-2.9585585206615313E-6
-0.528,-4.953506618525158E-7
-0.5519999999999998,-3.616610151796181E-6
-0.5759999999999998,-5.3673725925336944E-6
-0.5999999999999999,-3.5029657625711055E-6
-0.624,-2.1037732492608895E-6
-0.6479999999999999,-2.4517643825549672E-6
-0.6719999999999999,-2.565890059600621E-6
-0.696,-2.6333221363023743E-6
-0.72,-1.9671266050964864E-6
-0.744,-1.7959685312330439E-6
-0.768,-1.984418428409339E-6
-0.7919999999999999,-1.7736746074595734E-6
-0.8160000000000001,-1.2924247668601E-6
-0.84,-5.991609404116041E-7
-0.864,-2.8942018277604807E-7
-0.888,6.617549558264775E-8
-0.9119999999999999,6.225067898850498E-7
-0.936,4.818732037771729E-7
-0.96,-3.1477618698660254E-7
-0.984,-7.261996913159388E-7
-1.008,-1.100607556103056E-6
-1.032,-8.960968517141617E-7
-1.056,-3.129269508805616E-7
-1.08,-6.878872822421202E-8
-1.104,4.982478711611314E-7
-1.128,1.10032980973028E-6
-1.1520000000000001,4.391908487322771E-6
-1.1760000000000002,6.160387403162781E-6
-1.2000000000000002,2.4875007916700873E-6
-1.43,5.698897244416513E-7
-1.6600000000000001,9.181730305060816E-7
-1.89,2.893799362806756E-7
-2.12,1.474840702515856E-6
-2.3499999999999996,2.8826503024785913E-6
-2.58,7.51451975603435E-7
-2.81,4.867782773024763E-7
-3.04,2.811923952723925E-6
-3.27,2.2267751928122057E-6
-3.5,1.0147794572788055E-6
