"Plane Section: Position[X] (m)","Plane Section: Position[Y] (m)"
3.5,-2.615667299456226E-7
3.2700000000000005,-3.3751953973978205E-7
3.04,-3.156575892225219E-7
2.8100000000000005,-3.0835370551569354E-7
2.58,-2.906706601571961E-7
2.35,-2.789245011057019E-7
2.1200000000000006,-3.2370789624291615E-7
1.8900000000000001,-3.3341789964927773E-7
1.6600000000000004,-3.3943469530560086E-7
1.4300000000000002,-4.776481106038427E-7
1.2000000000000004,-7.597536668150703E-7
1.1760000000000002,-8.929802055245538E-7
1.1520000000000001,2.684513729183085E-7
1.1280000000000001,3.754464859351877E-7
1.104,-1.2217254207948659E-6
1.0800000000000005,-9.632127660893445E-7
1.056,-2.1686529912199985E-7
1.032,-5.632896605239478E-7
1.008,-1.1418036314808817E-7
0.984,1.8813813931024478E-7
0.96,-6.29336747126532E-7
0.936,-7.038739624444165E-7
0.9120000000000001,-4.334806302211565E-7
0.8880000000000001,-4.987703619927647E-7
0.8640000000000002,-5.03678833871932E-7
0.8400000000000003,-4.3178244748978516E-7
0.8160000000000003,-5.118231914656452E-7
0.7920000000000005,-5.905737112568525E-7
0.7680000000000007,-3.2060425608575714E-7
0.7440000000000007,-3.8075817497410305E-8
0.7200000000000006,1.0846780604993958E-8
0.6960000000000006,-1.2825885482847799E-7
0.6720000000000006,-5.578290779122141E-7
0.6480000000000006,-6.737202258846539E-7
0.6240000000000006,-5.090266419320328E-7
0.6000000000000005,-4.145648812056268E-7
0.5760000000000005,-3.6504737306597423E-7
0.5520000000000005,-5.513446311171573E-7
0.5280000000000005,-5.837886106769413E-7
0.5040000000000004,-5.565821955158361E-7
0.4800000000000006,-3.810033863773689E-7
0.4560000000000005,-2.1599522592014551E-7
0.4320000000000004,-5.15674084772353E-7
0.40800000000000036,-6.55255610840233E-7
0.38400000000000034,-4.952413764215506E-7
0.3600000000000003,-2.282549804017136E-7
0.3360000000000003,-3.115463770835686E-7
0.3120000000000002,-5.79182605149435E-7
0.2880000000000003,-3.872488099326398E-7
0.26400000000000023,-2.794261397781432E-7
0.24000000000000027,-9.560136741133644E-7
0.21600000000000025,-7.796461942617423E-7
0.19200000000000045,4.2370735193726985E-7
0.1680000000000005,-4.767245076139643E-7
0.14400000000000046,-1.1245765116423782E-6
0.12000000000000025,5.414913920487492E-7
0.09600000000000032,-3.4939259531581446E-8
0.07200000000000037,-1.5756436723588733E-6
0.048000000000000355,-3.1140816617362087E-7
0.024000000000000552,3.2206620583495084E-7
3.6368865193588108E-16,-7.777284099918114E-7
-0.02399999999999963,-6.889562102155994E-7
-0.04799999999999971,-4.324116672027936E-7
-0.07199999999999948,-3.5954373579869664E-7
-0.0959999999999995,-6.598498928458464E-7
-0.11999999999999961,-1.0979636506580018E-6
-0.14399999999999963,2.074806286749952E-7
-0.16799999999999968,2.918576331098488E-7
-0.19199999999999967,-1.0936795898819525E-6
-0.21599999999999964,-7.836790275163666E-7
-0.23999999999999966,-2.5557489741266474E-7
-0.2639999999999997,-5.113300761837476E-7
-0.2879999999999997,-3.494925087891426E-7
-0.3119999999999997,-4.2273240696290813E-7
-0.33599999999999974,-5.637070985551381E-7
-0.3599999999999996,-3.360069511359337E-7
-0.38399999999999956,-5.654128110951003E-7
-0.40799999999999964,-8.893223814121585E-7
-0.43199999999999966,-1.7498000867805733E-6
-0.4559999999999998,-1.709411448640695E-6
-0.48,2.784150486311813E-6
-0.504,2.5731280347948606E-6
-0.528,-2.810761037480439E-6
-0.5519999999999998,-9.199559992702482E-7
-0.5759999999999998,6.150576790145933E-7
-0.5999999999999999,-9.943342545665548E-7
-0.624,-5.77480194282427E-7
-0.6479999999999999,-1.0200697505952875E-6
-0.6719999999999998,3.8491872785114886E-7
-0.696,7.711642787458766E-7
-0.72,-1.3481956042189942E-6
-0.744,-1.2449484312678383E-6
-0.768,-5.185218401081507E-7
-0.7919999999999998,2.3540805883120498E-7
-0.8160000000000001,-2.0746654224440553E-8
-0.84,-8.445252845188517E-7
-0.864,-3.4180727125228925E-7
-0.888,-1.7187028688464036E-7
-0.9119999999999999,-3.9679726696116406E-7
-0.936,3.5285791337436034E-9
-0.96,-5.873757491850484E-8
-0.984,-7.009869538460861E-7
-1.008,-8.102168352226973E-7
-1.032,-7.949631141888035E-7
-1.056,-6.198498464079702E-7
-1.08,-1.842407293996002E-7
-1.104,-2.1345428050773517E-7
-1.1280000000000001,-3.2975859466221474E-7
-1.1520000000000001,-5.425941201708893E-7
-1.1760000000000002,-7.386729709906933E-7
-1.2000000000000002,-4.6826061544241737E-7
-1.43,-1.403727094228223E-7
-1.6599999999999997,-1.8569849948306578E-7
-1.89,-1.4630459397734115E-7
-2.12,-1.0351361404625434E-7
-2.3499999999999996,-2.6212410433163434E-7
-2.58,-7.83646212621468E-8
-2.81,-1.1897752657565042E-7
-3.04,-2.869567350904066E-7
-3.27,-2.471117110400354E-7
-3.5,-2.1782000024072462E-7
