"Plane Section: Position[X] (m)","Plane Section: Position[Y] (m)"
3.5,3.881781829683743E-6
3.2700000000000005,6.589033076046013E-6
3.0399999999999996,1.821209104251216E-6
2.8100000000000005,4.5740872487332225E-7
2.58,1.0601385257799243E-5
2.35,5.0758867360511245E-6
2.1200000000000006,-3.8575724835524395E-6
1.8900000000000003,2.349152591199239E-6
1.6600000000000004,4.0370310914002085E-6
1.4300000000000002,-3.362471692767337E-6
1.2000000000000004,1.82598043872446E-5
1.1760000000000002,4.0273670859685686E-5
1.1520000000000001,2.0344814832169884E-5
1.1280000000000001,2.5028457948607277E-6
1.104,3.5775461811199134E-6
1.0800000000000005,1.6394127603099832E-6
1.056,-9.034592613726532E-7
1.032,1.9565772818998066E-7
1.008,-1.432787782695193E-6
0.984,-2.536327192486894E-6
0.96,-9.837819071423053E-7
0.936,-1.2513522416098682E-6
0.9120000000000001,-2.7031073268489643E-6
0.8880000000000001,-2.466195421506681E-6
0.8640000000000002,-2.556344919431037E-6
0.8400000000000003,-3.170918876719978E-6
0.8160000000000003,-3.060218631450659E-6
0.7920000000000005,-2.492827415246984E-6
0.7680000000000007,-3.18413117306811E-6
0.7440000000000007,-4.382470184883689E-6
0.7200000000000006,-4.856234990599376E-6
0.6960000000000006,-4.786608923121891E-6
0.6720000000000006,-4.71759282716388E-6
0.6480000000000006,-5.399759807444291E-6
0.6240000000000006,-6.531112017454932E-6
0.6000000000000005,-7.379204783860508E-6
0.5760000000000005,-7.989516898310525E-6
0.5520000000000005,-8.09420951810593E-6
0.5280000000000005,-8.341423895822774E-6
0.5040000000000004,-8.963781725472185E-6
0.4800000000000006,-9.75345296308429E-6
0.4560000000000005,-1.033383481321374E-5
0.4320000000000004,-1.0039790137919601E-5
0.40800000000000036,-9.8821878977539E-6
0.38400000000000034,-1.0807652691223165E-5
0.3600000000000003,-1.1857733982605697E-5
0.3360000000000003,-1.1802320838525879E-5
0.3120000000000002,-1.1477715488176707E-5
0.2880000000000003,-1.2766913283562484E-5
0.26400000000000023,-1.3566255043285982E-5
0.24000000000000027,-1.1313498937006068E-5
0.21600000000000025,-1.2173500651646097E-5
0.19200000000000042,-1.6562781166140367E-5
0.1680000000000005,-1.301485339283339E-5
0.14400000000000046,-1.1061902864523306E-5
0.12000000000000025,-1.726960395720856E-5
0.09600000000000032,-1.5350908856024857E-5
0.07200000000000037,-1.0428794996407073E-5
0.048000000000000355,-1.524396898140842E-5
0.024000000000000552,-1.696321407751466E-5
3.651851706723389E-16,-1.362253059000772E-5
-0.02399999999999963,-1.4056917279594E-5
-0.04799999999999971,-1.502319204426273E-5
-0.07199999999999948,-1.5293251059542504E-5
-0.0959999999999995,-1.3850585776785515E-5
-0.11999999999999961,-1.2339571252850895E-5
-0.14399999999999963,-1.599246806862709E-5
-0.16799999999999968,-1.5870484804112513E-5
-0.19199999999999967,-1.1549790870737627E-5
-0.21599999999999964,-1.2660279575476543E-5
-0.23999999999999966,-1.3676021726350546E-5
-0.2639999999999997,-1.2599622214839838E-5
-0.2879999999999997,-1.2661019847325572E-5
-0.3119999999999997,-1.206207098044176E-5
-0.33599999999999974,-1.1489856181202919E-5
-0.3599999999999996,-1.2181408921686007E-5
-0.38399999999999956,-1.1520082323092894E-5
-0.40799999999999964,-9.782243719789856E-6
-0.43199999999999966,-5.985743374979863E-6
-0.4559999999999998,-4.287187974621066E-6
-0.48,-1.609003220029155E-5
-0.504,-1.4608119040048157E-5
-0.528,2.141519500759026E-7
-0.5519999999999998,-5.100279299466437E-6
-0.5759999999999998,-9.69535919748501E-6
-0.5999999999999999,-5.351869450592045E-6
-0.624,-5.481184337963836E-6
-0.6479999999999999,-4.278719999212949E-6
-0.6719999999999999,-6.778557790144621E-6
-0.696,-7.541844154952985E-6
-0.72,-1.7927102961604567E-6
-0.744,-1.5490998687809916E-6
-0.768,-3.3026264600190085E-6
-0.7919999999999999,-4.29386677236617E-6
-0.8160000000000001,-2.8495403005869037E-6
-0.84,-2.1830109178016047E-7
-0.864,-6.09163571327646E-7
-0.888,-8.958077119456103E-7
-0.9119999999999999,-1.0150524313939056E-7
-0.936,-7.429068735868329E-7
-0.96,-4.474828646950507E-7
-0.9840000000000001,7.628145743707009E-7
-1.008,1.3494542895314387E-6
-1.032,1.501731215514026E-6
-1.056,7.468878379956502E-7
-1.08,8.562665588837236E-7
-1.104,3.6189669420801616E-6
-1.1280000000000001,4.266243838761848E-6
-1.1520000000000001,8.687531092792852E-6
-1.1760000000000002,1.1328681802947119E-5
-1.2000000000000002,3.162675161492816E-6
-1.43,2.329874680593279E-6
-1.6599999999999997,6.203527952429802E-6
-1.89,1.6084943001875348E-6
-2.12,5.46007472511682E-7
-2.3499999999999996,3.527588454575563E-6
-2.58,2.1051128712389067E-6
-2.81,2.426903296387159E-6
-3.04,3.870946004742425E-6
-3.2699999999999996,4.089331176754729E-6
-3.5,4.130617290030265E-6
